model,outcome,predictor,n,beta,se,ci_low,ci_high,p_value,std_beta,std_ci_low,std_ci_high,p_fdr,m_imputations,missing_predictor_values
erp_metric_peak_primary,S3_NSI_Total,Global_Aperiodic_Exponent,21,-2.9256246658658647,29.356061270896905,-65.496588121144,59.645338789412264,0.9219340169965504,-0.03759876975211111,-0.8417317385403182,0.7665341990360961,0.9439929166129888,,
erp_metric_peak_primary,S3_NSI_Total,Posterior_IAF,21,-3.5290075544612316,5.064292307524102,-14.323291091915348,7.2652759829928835,0.49656043978842623,-0.21072493669428463,-0.8552757572825503,0.43382588389398113,0.9439929166129888,,
erp_metric_peak_primary,S3_NSI_Total,P3b_Amplitude_peak,21,1.5657971539900144,2.1333330760500893,-2.9812946614845863,6.112888969464615,0.47428582982936573,0.22042778246539685,-0.41969687416558243,0.8605524390963761,0.9439929166129888,,
erp_metric_peak_primary,S3_NSI_Total,Age,21,-0.040570026213067656,0.5679049386464523,-1.2510307496122006,1.1698906971860652,0.9439929166129888,-0.027079789891475196,-0.8350413595828738,0.7808817797999235,0.9439929166129888,,
erp_metric_peak_primary,S3_NSI_Total,Sex,21,-5.213004228744547,10.165511334300163,-26.88027874262138,16.45427028513228,0.6155509846664337,-0.14339226987555095,-0.7393863527941665,0.45260181304306457,0.9439929166129888,,
eyes_open_primary_combined,S3_NSI_Total,EO_Global_Aperiodic_Exponent,17,41.18301574746275,18.50095937235768,0.4626787214451724,81.90335277348032,0.04786082486053745,0.6213227067618394,0.006980372620893016,1.2356650409027858,0.23410319763973875,,
eyes_open_primary_combined,S3_NSI_Total,EO_Posterior_IAF,17,9.765956166225022,7.19919431338144,-6.079363682143642,25.611276014593685,0.20211685809798297,0.364589795411874,-0.22695923710703225,0.9561388279307802,0.336861430163305,,
eyes_open_primary_combined,S3_NSI_Total,P3b_Amplitude,17,4.5642239852205115,2.4870898888428283,-0.9098239519365174,10.03827192237754,0.0936412790558955,0.4820049450826047,-0.09608197262186358,1.060091862787073,0.23410319763973875,,
eyes_open_primary_combined,S3_NSI_Total,Age,17,0.27095748994025615,0.5297994066786749,-0.8951231419848623,1.4370381218653745,0.6191567111703296,0.16312032555166278,-0.5388770702060681,0.8651177213093937,0.6191567111703296,,
eyes_open_primary_combined,S3_NSI_Total,Sex,17,-8.499764354989779,9.641508782014284,-29.72058210509643,12.721053395116872,0.3968584171786195,-0.21867102271138528,-0.764612971968321,0.32727092654555046,0.4960730214732744,,
mice_predictor_imputation_primary,S3_NSI_Total,Global_Aperiodic_Exponent,25,3.700159410079894,27.04777467659268,-49.31347895604176,56.713797776201545,0.891188187101435,,,,,20.0,0.0
mice_predictor_imputation_primary,S3_NSI_Total,Posterior_IAF,25,-3.732943763947764,4.812680218990838,-13.165796993169806,5.699909465274278,0.4379570989778414,,,,,20.0,0.0
mice_predictor_imputation_primary,S3_NSI_Total,P3b_Amplitude,25,0.8657182718819441,2.2693957289986364,-3.582297356955383,5.313733900719271,0.7028506431164769,,,,,20.0,1.0
mice_predictor_imputation_primary,S3_NSI_Total,Age,25,-0.03786965233728392,0.49198999940457566,-1.0021700511702523,0.9264307464956844,0.9386454993063603,,,,,20.0,0.0
mice_predictor_imputation_primary,S3_NSI_Total,Sex,25,2.905746479256564,7.760155614003352,-12.304158524190006,18.115651482703136,0.708073747033968,,,,,20.0,0.0
erp_low_trial_subjects_included,S3_NSI_Total,Global_Aperiodic_Exponent,24,6.280472856252075,27.794315315690465,-52.113216783891076,64.67416249639523,0.823776499443828,0.08059636946128546,-0.6687611219510806,0.8299538608736515,0.9474213550258217,,
erp_low_trial_subjects_included,S3_NSI_Total,Posterior_IAF,24,-3.728746023492401,4.893049915996727,-14.008662436009484,6.551170389024683,0.4559005361928526,-0.22421901593853089,-0.8423766290939831,0.39393859721692137,0.9474213550258217,,
erp_low_trial_subjects_included,S3_NSI_Total,P3b_Amplitude,24,1.1378405844143442,2.351471323305137,-3.802417345712178,6.078098514540867,0.6343023692012095,0.12517425238727503,-0.4183053013167983,0.6686538060913483,0.9474213550258217,,
erp_low_trial_subjects_included,S3_NSI_Total,Age,24,0.03430475771815733,0.5129968820137505,-1.0434616982794624,1.1120712137157773,0.9474213550258216,0.022133344343310934,-0.6732388920167387,0.7175055807033606,0.9474213550258217,,
erp_low_trial_subjects_included,S3_NSI_Total,Sex,24,1.0195830534403192,8.437833196683316,-16.707646681349157,18.746812788229793,0.9051605990185123,0.028558703711062464,-0.46798417222780253,0.5251015796499274,0.9474213550258217,,
added_covariates_days_gcs_loc_duration,S3_NSI_Total,Global_Aperiodic_Exponent,18,-2.284622701911074,47.02965702169234,-110.73520627116724,106.16596086734509,0.9624462222125351,-0.02966233077838025,-1.43772725119123,1.3784025896344694,0.9869053680371204,,
added_covariates_days_gcs_loc_duration,S3_NSI_Total,Posterior_IAF,18,-4.372577804020079,8.193141299764955,-23.2659955215901,14.520839913549942,0.6080627350461189,-0.2613066141113806,-1.3903831529510624,0.8677699247283011,0.9869053680371204,,
added_covariates_days_gcs_loc_duration,S3_NSI_Total,P3b_Amplitude,18,0.06565599525500976,3.8775804339435203,-8.876060520005511,9.007372510515532,0.9869053680371204,0.007924051928263565,-1.0712557810715786,1.0871038849281056,0.9869053680371204,,
added_covariates_days_gcs_loc_duration,S3_NSI_Total,Age,18,-0.14157388053047817,0.9717323602356409,-2.3823927215455702,2.099244960484614,0.8877683883700435,-0.09724874545818041,-1.6364932746837746,1.441995783767414,0.9869053680371204,,
added_covariates_days_gcs_loc_duration,S3_NSI_Total,Sex,18,4.458471790596502,17.56821254612955,-36.05389898892395,44.97084257011696,0.806065643667589,0.10564097213826316,-0.8542767830443292,1.0655587273208555,0.9869053680371204,,
added_covariates_days_gcs_loc_duration,S3_NSI_Total,DaysSinceInjuryVisit1_S1,18,-1.0358954991215477,1.7268582956121297,-5.018037869714736,2.946246871471641,0.5651906945036351,-0.2222339383471235,-1.0765355380995523,0.6320676614053053,0.9869053680371204,,
added_covariates_days_gcs_loc_duration,S3_NSI_Total,GCS_S1,18,3.944668085599728,26.59591898991668,-57.385631084703135,65.2749672559026,0.8857617289892118,0.05744801619572242,-0.8357333475002731,0.9506293798917178,0.9869053680371204,,
added_covariates_days_gcs_loc_duration,S3_NSI_Total,LOC_S1,18,8.94688190022614,30.6140742529076,-61.649299922426174,79.54306372287846,0.7775333153564875,0.13029755739950047,-0.8978271184152129,1.1584222332142138,0.9869053680371204,,
added_covariates_days_gcs_loc_duration,S3_NSI_Total,LOC_duration_minutes_zero_if_no_LOC,18,-0.07342511962518099,0.11276649255819814,-0.33346511777685567,0.18661487852649367,0.5332181034390125,-0.25237280986676586,-1.1461680851934914,0.6414224654599598,0.9869053680371204,,
session2_nsi_timing_primary,S2_NSI_Total,Global_Aperiodic_Exponent,20,-4.32654591947774,23.998925171904823,-55.799121152514694,47.14602931355922,0.8595156584264955,-0.06900806155861558,-0.8899915218914995,0.7519753987742683,0.8595156584264954,,
session2_nsi_timing_primary,S2_NSI_Total,Posterior_IAF,20,-4.764887301963616,4.660187737948184,-14.759995925512666,5.230221321585433,0.32390408455160613,-0.3264544500209037,-1.0112445577019917,0.3583356576601845,0.8408336395337902,,
session2_nsi_timing_primary,S2_NSI_Total,P3b_Amplitude,20,-0.890514904479502,2.0637072275035644,-5.316726693788906,3.535696884829902,0.6726669116270322,-0.1289396951327283,-0.7698210502179887,0.5119416599525322,0.8408336395337902,,
session2_nsi_timing_primary,S2_NSI_Total,Age,20,-0.2774214561193314,0.4464573881930463,-1.2349773190383284,0.6801344067996657,0.5443328508959931,-0.2283815166680726,-1.0166697166037697,0.5599066832676245,0.8408336395337902,,
session2_nsi_timing_primary,S2_NSI_Total,Sex,20,3.846707062659399,7.850190481371807,-12.990276979405909,20.683691104724705,0.6317133109848198,0.13090399912752232,-0.4420610092422283,0.7038690074972729,0.8408336395337902,,
log1p_outcome_primary,S3_NSI_Total_log1p_sensitivity,Global_Aperiodic_Exponent,21,-1.0814730245651363,2.4024280357457592,-6.202127169595499,4.039181120465226,0.6590339001363804,-0.1700695517560793,-0.9753299099544742,0.6351908064423156,0.8108056768371915,,
log1p_outcome_primary,S3_NSI_Total_log1p_sensitivity,Posterior_IAF,21,-0.1790272856499968,0.4329602705279654,-1.101860257512266,0.7438056862122725,0.6850944284337805,-0.130809239559761,-0.8050923738411967,0.5434738947216747,0.8108056768371915,,
log1p_outcome_primary,S3_NSI_Total_log1p_sensitivity,P3b_Amplitude,21,0.18546557331013677,0.20892895338355325,-0.2598559494335173,0.6307870960537909,0.38871631287383185,0.26389901067599314,-0.36974909547823814,0.8975471168302245,0.8108056768371915,,
log1p_outcome_primary,S3_NSI_Total_log1p_sensitivity,Age,21,-0.016109582191649558,0.04526152877111389,-0.11258224712218096,0.08036308273888185,0.7268550034900876,-0.13157704508484938,-0.9195297077926341,0.6563756176229354,0.8108056768371915,,
log1p_outcome_primary,S3_NSI_Total_log1p_sensitivity,Sex,21,-0.19329008081464563,0.7933228563829614,-1.8842177225342918,1.4976375609050006,0.8108056768371915,-0.06505835529282561,-0.6341976035450418,0.5040808929593905,0.8108056768371915,,
